product_no,diol_1,diol_2,diol_3,diol_4,diol_5,diol_7,diol_8,diol_9,diol_10,diol_11,diol_12,diol_14,acid_1,acid_2,acid_3,acid_4,acid_5,acid_6,acid_7,acid_8,acid_9,av,ohv,tg,mn,mw,measured_st,st_polar,st_disperse,commercial
JG0137,0,0.503,0,0,0,0,0,0,0,0,0,0,0.149,0.099,0.249,0,0,0,0,0,0,30,34,17,2500,5500,29.77,8.39,21.38,0
JG0143,0,0,0.505,0,0,0,0,0,0,0,0,0,0.149,0.099,0.248,0,0,0,0,0,0,30,25,94,2700,6400,33.18,13.85,19.33,0
JG0166,0,0,0.504,0,0,0,0,0,0,0,0,0,0.149,0.347,0,0,0,0,0,0,0,34,29,55,2800,7700,34.52,16.67,17.85,0
JG0325,0,0,0.513,0,0,0,0,0,0,0,0,0,0.243,0.244,0,0,0,0,0,0,0,31,37,70,2500,5800,46.1,29.91,16.19,0
JG0327,0,0,0,0.509,0,0,0,0,0,0,0,0,0.245,0.246,0,0,0,0,0,0,0,29,42,-26,2300,4600,29.11,4.47,24.64,0
JG0330,0,0,0,0,0.509,0,0,0,0,0,0,0,0.245,0.246,0,0,0,0,0,0,0,28,23,-17,2600,5500,28.14,10.73,17.41,0
JG0332,0,0,0,0,0,0.507,0,0,0,0,0,0,0.246,0.247,0,0,0,0,0,0,0,28,37,-31,2700,5800,37.76,16.18,21.58,0
JG0434,0,0.515,0,0,0,0,0,0,0,0,0,0,0.242,0.242,0,0,0,0,0,0,0,29,55,-18,2400,5000,39.98,17.67,22.31,0
JG0435,0,0.507,0,0,0,0,0,0,0,0,0,0,0.247,0.246,0,0,0,0,0,0,0,28,40,-12,3100,6600,38.89,16.62,22.27,0
JG0438,0,0.506,0,0,0,0,0,0,0,0,0,0,0.444,0.049,0,0,0,0,0,0,0,29,43,45,3000,6500,34.98,14.74,20.24,0
JG0439,0,0,0,0,0,0.505,0,0,0,0,0,0,0.446,0.049,0,0,0,0,0,0,0,29,44,-3,2500,6800,36.86,18.13,18.73,0
JG0462,0.507,0,0,0,0,0,0,0,0,0,0,0,0.246,0.246,0,0,0,0,0,0,0,28,999,14,2200,6000,29.14,8.22,20.92,0
JG0511,0.507,0,0,0,0,0,0,0,0,0,0,0,0.246,0.246,0,0,0,0,0,0,0,27,38,13,2300,5900,34.9,15.99,18.91,1
JG0512,0.512,0,0,0,0,0,0,0,0,0,0,0,0.163,0,0.325,0,0,0,0,0,0,18,23,48,2400,6000,32.9,9.59,23.31,1
JG0513,0.552,0,0,0,0,0,0,0,0,0,0,0,0.224,0.224,0,0,0,0,0,0,0,28,100,5,1100,2900,35,29.03,5.97,1
JG0514,0,0.125,0,0,0,0.375,0,0,0,0,0,0,0.2,0,0,0.3,0,0,0,0,0,18,21,999,3200,8900,31.15,17.7,13.45,1
JG0515,0,0,0,0,0,0,0,0,0,0,0,0.52,0.24,0,0,0,0,0,0,0,0.24,21,32,999,2400,40000,40.52,25.44,15.08,1
JG0516,0.465,0,0,0,0,0,0,0,0,0,0,0,0.226,0.226,0.083,0,0,0,0,0,0,57,5,25,1700,4200,32.72,16.03,16.69,1
JG0517,0.538,0,0,0,0,0,0,0,0,0,0,0,0.2,0.201,0,0,0,0,0,0.061,0,29,60,30,2000,10000,35.16,15.11,20.05,1
